email,firstName,lastName,startDate,employmentType,department,level,city,country,gender,salary,bonus
Patrick.Rogers@gamine.com,Patrick,Rogers,2015-05-25,fullTime,Operations,3,Anchorage,United States of America,Male,338287,22098
Chris.Bailey@gamine.com,Chris,Bailey,2019-04-18,fullTime,Operations,2,Lubbock,United States of America,Female,252377,29569
Ronald.Price@gamine.com,Ronald,Price,2019-12-14,fullTime,Management,5,Newark,United States of America,Female,114285,16228
Gary.Bell@gamine.com,Gary,Bell,2018-12-28,fullTime,Operations,5,Newark,United States of America,Female,176146,17939
Lisa.Lopez@gamine.com,Lisa,Lopez,2015-12-13,fullTime,Management,2,Honolulu,United States of America,Male,182073,32644
Victor.Roberts@gamine.com,Victor,Roberts,2020-04-10,fullTime,Kitchen,5,Oklahoma City,United States of America,Female,110741,19387
Norma.Turner@gamine.com,Norma,Turner,2018-01-11,fullTime,Operations,1,Boise,United States of America,Male,79631,15372
Sarah.Brown@gamine.com,Sarah,Brown,2012-12-04,fullTime,Front of house,3,Norfolk,United States of America,Female,311680,29167
Mildred.Stewart@gamine.com,Mildred,Stewart,2020-09-05,fullTime,Kitchen,5,Akron,United States of America,Female,332647,6207
Paul.Patterson@gamine.com,Paul,Patterson,2015-02-19,fullTime,Operations,4,Akron,United States of America,Male,304476,27899
Gerald.Powell@gamine.com,Gerald,Powell,2018-10-13,fullTime,Kitchen,3,Fort Worth,United States of America,Male,299426,24460
Brandon.Hernandez@gamine.com,Brandon,Hernandez,2018-08-10,fullTime,Front of house,1,Albuquerque,United States of America,Female,281655,33056
Richard.James@gamine.com,Richard,James,2013-01-02,fullTime,Operations,1,Virginia Beach,United States of America,Female,65070,23505
Elizabeth.Young@gamine.com,Elizabeth,Young,2018-10-10,fullTime,Kitchen,1,Las Vegas,United States of America,Male,275099,5735
Matthew.Phillips@gamine.com,Matthew,Phillips,2019-11-23,fullTime,Front of house,1,Riverside,United States of America,Female,197975,17311
Arthur.King@gamine.com,Arthur,King,2015-03-27,fullTime,Operations,3,Henderson,United States of America,Female,113178,17179
Mark.Evans@gamine.com,Mark,Evans,2018-06-16,fullTime,Front of house,2,Portland,United States of America,Female,192393,26240
Denise.Simmons@gamine.com,Denise,Simmons,2019-10-23,fullTime,Operations,2,Boston,United States of America,Male,317613,27728
Rebecca.Howard@gamine.com,Rebecca,Howard,2013-01-12,fullTime,Management,1,San Jose,United States of America,Female,253286,19590
Ashley.Adams@gamine.com,Ashley,Adams,2019-07-24,fullTime,Management,2,Oakland,United States of America,Male,329430,26786
Roy.Diaz@gamine.com,Roy,Diaz,2017-03-16,fullTime,Kitchen,1,Arlington,United States of America,Female,70259,21171
Lillian.Griffin@gamine.com,Lillian,Griffin,2017-03-16,fullTime,Front of house,4,Greensboro,United States of America,Female,257849,14133
Sandra.Collins@gamine.com,Sandra,Collins,2015-05-29,fullTime,Operations,3,Montgomery,United States of America,Male,291557,10345
Nancy.Robinson@gamine.com,Nancy,Robinson,2013-09-11,fullTime,Management,4,St. Louis,United States of America,Male,195990,17428
Jeremy.Carter@gamine.com,Jeremy,Carter,2015-06-28,fullTime,Operations,5,Fort Worth,United States of America,Female,133674,9161
Shawn.Washington@gamine.com,Shawn,Washington,2012-07-05,fullTime,Operations,3,San Diego,United States of America,Female,133253,27282
Alan.Coleman@gamine.com,Alan,Coleman,2016-06-07,fullTime,Operations,5,Portland,United States of America,Male,58177,33894
Todd.Bennett@gamine.com,Todd,Bennett,2015-05-30,fullTime,Management,3,Riverside,United States of America,Female,116164,19571
Margaret.Russell@gamine.com,Margaret,Russell,2018-08-03,fullTime,Management,5,Chesapeake,United States of America,Female,161143,25909
Gloria.Parker@gamine.com,Gloria,Parker,2014-12-21,fullTime,Kitchen,4,Detroit,United States of America,Female,192724,21250
Phyllis.Moore@gamine.com,Phyllis,Moore,2018-06-04,fullTime,Kitchen,4,Fort Worth,United States of America,Male,178776,30173
George.Torres@gamine.com,George,Torres,2016-06-19,fullTime,Operations,2,San Bernardino,United States of America,Female,150019,22623
Christine.Gonzales@gamine.com,Christine,Gonzales,2017-04-28,fullTime,Management,2,Tampa,United States of America,Male,200920,7110
Thomas.Ross@gamine.com,Thomas,Ross,2015-08-30,fullTime,Management,4,Los Angeles,United States of America,Female,207078,7902
Craig.Wright@gamine.com,Craig,Wright,2013-10-04,fullTime,Operations,5,Henderson,United States of America,Female,119032,27622
Jean.Bryant@gamine.com,Jean,Bryant,2013-12-23,fullTime,Kitchen,4,Santa Ana,United States of America,Male,324028,5046
Catherine.Cox@gamine.com,Catherine,Cox,2012-02-14,fullTime,Operations,5,Jacksonville,United States of America,Male,320069,21200
Kathleen.Ramirez@gamine.com,Kathleen,Ramirez,2019-11-20,fullTime,Management,5,Milwaukee,United States of America,Female,311850,24216
Lawrence.Campbell@gamine.com,Lawrence,Campbell,2014-04-25,fullTime,Management,4,Norfolk,United States of America,Female,253414,17471
Carl.Jones@gamine.com,Carl,Jones,2018-01-23,fullTime,Front of house,2,Anaheim,United States of America,Male,156811,19187
Clarence.Walker@gamine.com,Clarence,Walker,2014-02-04,fullTime,Management,4,Santa Ana,United States of America,Female,73520,32582
Jacqueline.Foster@gamine.com,Jacqueline,Foster,2013-01-23,fullTime,Management,2,Nashville-Davidson,United States of America,Female,118571,12113
Aaron.Hill@gamine.com,Aaron,Hill,2014-11-20,fullTime,Management,5,Mesa,United States of America,Female,94200,9889
Joe.Nelson@gamine.com,Joe,Nelson,2020-06-24,fullTime,Management,4,Chula Vista,United States of America,Male,282213,17345
Albert.Davis@gamine.com,Albert,Davis,2012-05-21,fullTime,Front of house,4,Kansas City,United States of America,Female,141428,17191
Bruce.Kelly@gamine.com,Bruce,Kelly,2012-01-24,fullTime,Front of house,5,Boise,United States of America,Male,256027,31662
Juan.Reed@gamine.com,Juan,Reed,2020-04-11,fullTime,Kitchen,5,Fresno,United States of America,Female,130081,14988
Frank.Garcia@gamine.com,Frank,Garcia,2012-07-18,fullTime,Kitchen,4,El Paso,United States of America,Female,273681,18820
Phillip.Baker@gamine.com,Phillip,Baker,2013-02-22,fullTime,Kitchen,4,Bakersfield,United States of America,Male,69728,32729
Louise.Flores@gamine.com,Louise,Flores,2017-11-11,fullTime,Front of house,4,Toledo,United States of America,Male,336482,11037
James.Brooks@gamine.com,James,Brooks,2018-05-31,fullTime,Management,4,Anaheim,United States of America,Female,165830,11285
Stephanie.Clark@gamine.com,Stephanie,Clark,2018-01-31,fullTime,Management,4,Charlotte,United States of America,Female,77751,22529
Brenda.Murphy@gamine.com,Brenda,Murphy,2019-11-04,fullTime,Operations,4,Chandler,United States of America,Male,276887,24735
