email,firstName,lastName,startDate,employmentType,department,level,city,country,gender,salary,bonus
Donald.Morris@hookfish.com,Donald,Morris,2020-01-23,contractor,Management,2,Milwaukee,United States of America,Female,64329,12746
Billy.Coleman@hookfish.com,Billy,Coleman,2012-05-24,contractor,Management,2,Aurora,United States of America,Female,176361,5917
Daniel.Rivera@hookfish.com,Daniel,Rivera,2013-06-10,contractor,Management,1,Pittsburgh,United States of America,Male,248981,26767
Louis.Henderson@hookfish.com,Louis,Henderson,2014-07-23,contractor,Operations,1,El Paso,United States of America,Female,279551,23724
Carl.Lopez@hookfish.com,Carl,Lopez,2014-08-14,contractor,Front of house,5,Kansas City,United States of America,Male,64184,8661
Maria.Bryant@hookfish.com,Maria,Bryant,2012-09-20,contractor,Management,3,Houston,United States of America,Female,206635,28331
Terry.Williams@hookfish.com,Terry,Williams,2019-06-14,contractor,Management,1,Arlington,United States of America,Female,272083,16274
Paula.Taylor@hookfish.com,Paula,Taylor,2012-07-21,contractor,Management,3,Stockton,United States of America,Male,214610,33939
David.Young@hookfish.com,David,Young,2020-10-13,contractor,Front of house,2,New Orleans,United States of America,Male,163728,17639
Annie.Turner@hookfish.com,Annie,Turner,2018-08-04,contractor,Front of house,3,Chicago,United States of America,Female,157416,16097
Bonnie.Johnson@hookfish.com,Bonnie,Johnson,2016-08-17,contractor,Front of house,1,Chesapeake,United States of America,Female,165290,9990
Jessica.Morgan@hookfish.com,Jessica,Morgan,2013-12-09,contractor,Kitchen,1,Garland,United States of America,Male,184247,25656
Pamela.Lewis@hookfish.com,Pamela,Lewis,2019-08-18,contractor,Operations,1,Riverside,United States of America,Female,277759,13230
Christopher.Griffin@hookfish.com,Christopher,Griffin,2015-06-10,contractor,Kitchen,3,Henderson,United States of America,Female,71656,9398
Jeremy.Gonzales@hookfish.com,Jeremy,Gonzales,2013-03-23,contractor,Operations,1,New York,United States of America,Female,146245,14635
Jonathan.Long@hookfish.com,Jonathan,Long,2014-11-25,contractor,Kitchen,3,Phoenix,United States of America,Male,170164,11115
Janice.Diaz@hookfish.com,Janice,Diaz,2018-07-31,contractor,Operations,4,Garland,United States of America,Female,152413,12191
Michael.Adams@hookfish.com,Michael,Adams,2017-01-24,contractor,Operations,1,St. Louis,United States of America,Male,318856,24601
Elizabeth.Allen@hookfish.com,Elizabeth,Allen,2018-02-15,contractor,Management,5,Charlotte,United States of America,Female,295548,30581
Wanda.Simmons@hookfish.com,Wanda,Simmons,2019-10-03,contractor,Kitchen,1,Denver,United States of America,Female,250954,10926
Martha.Rogers@hookfish.com,Martha,Rogers,2016-07-14,contractor,Kitchen,3,Albuquerque,United States of America,Male,168102,11453
Russell.Hughes@hookfish.com,Russell,Hughes,2017-01-01,contractor,Kitchen,2,Lubbock,United States of America,Male,339211,26932
Joan.Anderson@hookfish.com,Joan,Anderson,2013-10-03,contractor,Management,2,Colorado Springs,United States of America,Female,265192,24875
Jimmy.Washington@hookfish.com,Jimmy,Washington,2014-01-04,contractor,Kitchen,5,San Bernardino,United States of America,Female,112740,11463
Matthew.Gonzalez@hookfish.com,Matthew,Gonzalez,2019-12-17,contractor,Front of house,1,Orlando,United States of America,Male,343238,16318
Joyce.Kelly@hookfish.com,Joyce,Kelly,2019-06-19,contractor,Management,1,Cincinnati,United States of America,Female,68824,26058
Paul.Lee@hookfish.com,Paul,Lee,2017-05-20,contractor,Operations,2,Durham,United States of America,Female,149890,33359
Ernest.Alexander@hookfish.com,Ernest,Alexander,2015-09-20,contractor,Kitchen,3,Boise,United States of America,Female,189279,34655
Shawn.Ward@hookfish.com,Shawn,Ward,2014-02-23,contractor,Management,5,Greensboro,United States of America,Male,115840,12475
Linda.Ramirez@hookfish.com,Linda,Ramirez,2016-12-29,contractor,Operations,2,Kansas City,United States of America,Female,154686,22131
Kathy.Collins@hookfish.com,Kathy,Collins,2018-05-25,contractor,Management,1,Glendale,United States of America,Male,131095,32755
Jesse.Green@hookfish.com,Jesse,Green,2020-10-28,contractor,Front of house,5,Jacksonville,United States of America,Female,169340,20021
Cheryl.Thomas@hookfish.com,Cheryl,Thomas,2017-09-01,contractor,Management,1,Henderson,United States of America,Female,181655,24798
Anthony.Phillips@hookfish.com,Anthony,Phillips,2017-08-22,contractor,Operations,1,Akron,United States of America,Male,158535,29111
Sara.Perez@hookfish.com,Sara,Perez,2018-03-15,contractor,Kitchen,5,Colorado Springs,United States of America,Male,84325,25103
Evelyn.Howard@hookfish.com,Evelyn,Howard,2018-02-11,contractor,Front of house,2,Washington,United States of America,Female,117821,5339
Jeffrey.Nelson@hookfish.com,Jeffrey,Nelson,2012-11-20,contractor,Kitchen,1,San Antonio,United States of America,Female,290221,26884
Julia.Wilson@hookfish.com,Julia,Wilson,2017-05-29,contractor,Front of house,2,Stockton,United States of America,Male,342415,25109
Ann.Brooks@hookfish.com,Ann,Brooks,2015-10-12,contractor,Operations,5,Akron,United States of America,Female,65620,15223
Irene.Walker@hookfish.com,Irene,Walker,2015-08-30,contractor,Operations,5,Henderson,United States of America,Female,248387,27665
Betty.Cook@hookfish.com,Betty,Cook,2015-11-04,contractor,Management,4,Corpus Christi,United States of America,Female,272787,19579
Kathleen.Martinez@hookfish.com,Kathleen,Martinez,2016-10-01,contractor,Front of house,2,El Paso,United States of America,Male,275703,17254
Randy.Peterson@hookfish.com,Randy,Peterson,2014-04-14,contractor,Front of house,2,Stockton,United States of America,Female,178612,23446
Stephanie.Sanchez@hookfish.com,Stephanie,Sanchez,2020-10-20,contractor,Management,3,Los Angeles,United States of America,Male,258990,10384
Keith.Foster@hookfish.com,Keith,Foster,2016-08-28,contractor,Front of house,2,Las Vegas,United States of America,Female,176110,17982
Joe.Baker@hookfish.com,Joe,Baker,2019-03-29,contractor,Management,3,Chicago,United States of America,Female,92978,25332
Jennifer.Brown@hookfish.com,Jennifer,Brown,2017-05-01,contractor,Kitchen,1,Birmingham,United States of America,Male,270844,6537
Thomas.Jackson@hookfish.com,Thomas,Jackson,2012-05-10,contractor,Operations,2,Philadelphia,United States of America,Male,346077,14275
Christopher.Lopez@hookfish.com,Christopher,Lopez,2017-06-10,contractor,Operations,5,Riverside,United States of America,Female,319800,20060
Kathleen.Butler@hookfish.com,Kathleen,Butler,2014-03-25,contractor,Management,2,Greensboro,United States of America,Female,319111,25353
John.Stewart@hookfish.com,John,Stewart,2013-12-17,contractor,Management,5,Milwaukee,United States of America,Male,315335,32986
Mark.Brown@hookfish.com,Mark,Brown,2017-05-30,contractor,Front of house,3,Houston,United States of America,Female,144820,30333
Cheryl.Scott@hookfish.com,Cheryl,Scott,2020-08-29,contractor,Front of house,4,Detroit,United States of America,Female,90096,19661
Rose.Adams@hookfish.com,Rose,Adams,2017-03-04,contractor,Front of house,5,St. Paul,United States of America,Female,185882,5973
Rachel.Russell@hookfish.com,Rachel,Russell,2018-07-31,contractor,Front of house,1,Glendale,United States of America,Male,305872,28067
Randy.Ward@hookfish.com,Randy,Ward,2018-05-24,contractor,Operations,5,Orlando,United States of America,Female,89372,20491
Wayne.Cook@hookfish.com,Wayne,Cook,2015-10-22,contractor,Kitchen,1,Boston,United States of America,Male,195591,22032
Amy.Gonzalez@hookfish.com,Amy,Gonzalez,2015-05-04,contractor,Management,3,Arlington,United States of America,Female,144533,21175
Todd.Long@hookfish.com,Todd,Long,2012-12-08,contractor,Management,3,North Hempstead,United States of America,Female,94120,7516
Douglas.Roberts@hookfish.com,Douglas,Roberts,2014-04-20,contractor,Operations,5,North Hempstead,United States of America,Male,278276,22362
Harold.Thompson@hookfish.com,Harold,Thompson,2020-10-05,contractor,Operations,1,Tulsa,United States of America,Male,311564,21192
Louis.Powell@hookfish.com,Louis,Powell,2014-01-04,contractor,Kitchen,2,New Orleans,United States of America,Female,187153,7166
Ashley.Kelly@hookfish.com,Ashley,Kelly,2017-09-06,full time,Operations,3,Baltimore,United States of America,Female,264202,33220
Henry.Richardson@hookfish.com,Henry,Richardson,2019-02-27,full time,Management,5,Cleveland,United States of America,Male,238321,9182
Roy.Martin@hookfish.com,Roy,Martin,2012-04-02,full time,Kitchen,4,Durham,United States of America,Female,170498,32440
Janet.Coleman@hookfish.com,Janet,Coleman,2016-06-01,full time,Management,5,New Orleans,United States of America,Female,203590,22105
Virginia.Hall@hookfish.com,Virginia,Hall,2013-04-01,full time,Front of house,5,Houston,United States of America,Female,311820,28473
Christine.Perry@hookfish.com,Christine,Perry,2013-04-28,full time,Kitchen,3,Mesa,United States of America,Male,187413,15995
Heather.Harris@hookfish.com,Heather,Harris,2016-12-23,full time,Management,3,Huntington,United States of America,Female,185829,27673
Christina.Simmons@hookfish.com,Christina,Simmons,2017-06-12,full time,Management,4,Anchorage,United States of America,Male,321937,33918
Anna.James@hookfish.com,Anna,James,2018-12-08,full time,Management,1,Stockton,United States of America,Female,267827,19396
Angela.Sanchez@hookfish.com,Angela,Sanchez,2017-08-06,full time,Kitchen,3,Cleveland,United States of America,Female,83696,34428
Earl.Johnson@hookfish.com,Earl,Johnson,2017-10-26,full time,Front of house,5,Garland,United States of America,Male,224784,24617
Clarence.Allen@hookfish.com,Clarence,Allen,2018-04-09,full time,Kitchen,5,Minneapolis,United States of America,Male,275835,6212
Matthew.Howard@hookfish.com,Matthew,Howard,2017-08-17,full time,Operations,2,Honolulu,United States of America,Female,160277,16964
Nancy.Barnes@hookfish.com,Nancy,Barnes,2020-01-27,full time,Management,4,Kansas City,United States of America,Female,261317,7578
Roger.Thomas@hookfish.com,Roger,Thomas,2019-07-15,full time,Front of house,3,Long Beach,United States of America,Male,317508,18480
Jean.Patterson@hookfish.com,Jean,Patterson,2014-09-16,full time,Front of house,1,New York,United States of America,Female,328191,18836
Sarah.Garcia@hookfish.com,Sarah,Garcia,2020-02-16,full time,Kitchen,4,Atlanta,United States of America,Female,105775,17023
Arthur.Phillips@hookfish.com,Arthur,Phillips,2016-05-16,full time,Kitchen,1,Jacksonville,United States of America,Female,166555,11530
Willie.Henderson@hookfish.com,Willie,Henderson,2014-12-13,full time,Operations,2,Stockton,United States of America,Male,234174,33214
Ernest.Jackson@hookfish.com,Ernest,Jackson,2015-09-19,full time,Kitchen,2,Honolulu,United States of America,Female,343886,8916
Marilyn.Clark@hookfish.com,Marilyn,Clark,2014-02-06,full time,Operations,2,San Antonio,United States of America,Male,144239,22624
Deborah.Flores@hookfish.com,Deborah,Flores,2012-02-17,full time,Operations,2,Miami,United States of America,Female,100483,5961
Sean.Williams@hookfish.com,Sean,Williams,2019-10-18,full time,Operations,3,Sacramento,United States of America,Female,115360,21026
Richard.Rodriguez@hookfish.com,Richard,Rodriguez,2013-01-11,full time,Front of house,4,Anchorage,United States of America,Male,249736,17188
Steve.Cox@hookfish.com,Steve,Cox,2019-08-16,full time,Kitchen,3,Virginia Beach,United States of America,Male,183559,5615
Barbara.Murphy@hookfish.com,Barbara,Murphy,2016-03-15,full time,Kitchen,2,Long Beach,United States of America,Female,75605,32220
Bruce.Robinson@hookfish.com,Bruce,Robinson,2019-08-22,full time,Front of house,2,Honolulu,United States of America,Female,167921,20026
Nicole.King@hookfish.com,Nicole,King,2020-04-07,full time,Operations,4,Akron,United States of America,Male,146311,11302
Gary.Lee@hookfish.com,Gary,Lee,2017-03-27,full time,Management,3,Riverside,United States of America,Female,293742,34506
Raymond.Griffin@hookfish.com,Raymond,Griffin,2018-09-27,full time,Operations,4,Boston,United States of America,Female,159716,30767
Keith.Evans@hookfish.com,Keith,Evans,2013-08-17,full time,Management,2,Memphis,United States of America,Female,216275,21114
Theresa.Alexander@hookfish.com,Theresa,Alexander,2020-06-11,full time,Operations,2,Oklahoma City,United States of America,Male,160378,26549
Bobby.Perez@hookfish.com,Bobby,Perez,2018-11-17,full time,Management,5,St. Louis,United States of America,Female,90361,33302
Daniel.Rivera@hookfish.com,Daniel,Rivera,2020-03-24,full time,Kitchen,5,Pittsburgh,United States of America,Male,139438,19079
Eric.Ross@hookfish.com,Eric,Ross,2020-05-11,full time,Front of house,2,Anchorage,United States of America,Female,197073,20443
Marie.Bell@hookfish.com,Marie,Bell,2014-04-26,full time,Management,5,Tulsa,United States of America,Female,221173,12472
Carl.Wright@hookfish.com,Carl,Wright,2020-10-06,full time,Management,1,Riverside,United States of America,Male,324398,23399
Ann.Price@hookfish.com,Ann,Price,2017-10-22,full time,Operations,3,Oklahoma City,United States of America,Male,331385,22923
Carlos.Bennett@hookfish.com,Carlos,Bennett,2014-08-27,full time,Front of house,4,Jersey City,United States of America,Female,273356,34620
Michelle.Hernandez@hookfish.com,Michelle,Hernandez,2012-11-04,full time,Operations,1,Buffalo,United States of America,Female,80667,6988
Dennis.Cooper@hookfish.com,Dennis,Cooper,2016-07-14,full time,Management,4,Chandler,United States of America,Male,184887,26943
Jesse.Watson@hookfish.com,Jesse,Watson,2016-10-09,full time,Front of house,2,Modesto,United States of America,Female,84921,9508
Shirley.Bailey@hookfish.com,Shirley,Bailey,2014-02-15,full time,Management,3,Kansas City,United States of America,Female,58829,19469
Phillip.Carter@hookfish.com,Phillip,Carter,2012-07-28,full time,Operations,2,Montgomery,United States of America,Female,124039,28956
Irene.Diaz@hookfish.com,Irene,Diaz,2019-11-21,full time,Operations,1,Arlington,United States of America,Male,213911,21006
Edward.Turner@hookfish.com,Edward,Turner,2013-05-01,full time,Front of house,3,Bakersfield,United States of America,Female,147151,31308
